Date,Open,High,Low,Close,Adj Close,Volume
2005-02-17,28.520000,28.520000,28.520000,28.520000,16.688469,0
2005-02-18,28.549999,28.549999,28.549999,28.549999,16.706020,0
2005-02-22,28.459999,28.459999,28.459999,28.459999,16.653360,0
2005-02-23,28.500000,28.500000,28.500000,28.500000,16.676764,0
2005-02-24,28.700001,28.700001,28.700001,28.700001,16.793797,0
2005-02-25,29.030001,29.030001,29.030001,29.030001,16.986893,0
2005-02-28,29.040001,29.040001,29.040001,29.040001,16.992746,0
2005-03-01,29.090000,29.090000,29.090000,29.090000,17.022003,0
2005-03-02,28.940001,28.940001,28.940001,28.940001,16.934231,0
2005-03-03,28.930000,28.930000,28.930000,28.930000,16.928379,0
2005-03-04,29.299999,29.299999,29.299999,29.299999,17.144884,0
2005-03-07,29.280001,29.280001,29.280001,29.280001,17.133179,0
2005-03-08,29.360001,29.360001,29.360001,29.360001,17.179991,0
2005-03-09,29.309999,29.309999,29.309999,29.309999,17.150736,0
2005-03-10,29.230000,29.230000,29.230000,29.230000,17.103920,0
2005-03-11,29.309999,29.309999,29.309999,29.309999,17.150736,0
2005-03-14,29.090000,29.090000,29.090000,29.090000,17.022003,0
2005-03-15,28.969999,28.969999,28.969999,28.969999,16.951784,0
2005-03-16,28.920000,28.920000,28.920000,28.920000,16.922529,0
2005-03-17,28.879999,28.879999,28.879999,28.879999,16.899120,0
2005-03-18,28.930000,28.930000,28.930000,28.930000,16.928379,0
2005-03-21,28.670000,28.670000,28.670000,28.670000,16.776239,0
2005-03-22,28.350000,28.350000,28.350000,28.350000,16.588991,0
2005-03-23,28.110001,28.110001,28.110001,28.110001,16.448553,0
2005-03-24,28.139999,28.139999,28.139999,28.139999,16.466106,0
2005-03-28,28.090000,28.090000,28.090000,28.090000,16.436852,0
2005-03-29,27.770000,27.770000,27.770000,27.770000,16.249607,0
2005-03-30,27.959999,27.959999,27.959999,27.959999,16.360781,0
2005-03-31,28.110001,28.110001,28.110001,28.110001,16.448553,0
2005-04-01,28.160000,28.160000,28.160000,28.160000,16.477814,0
2005-04-04,28.000000,28.000000,28.000000,28.000000,16.384192,0
2005-04-05,28.180000,28.180000,28.180000,28.180000,16.489517,0
2005-04-06,28.290001,28.290001,28.290001,28.290001,16.553881,0
2005-04-07,28.400000,28.400000,28.400000,28.400000,16.618246,0
2005-04-08,28.549999,28.549999,28.549999,28.549999,16.706020,0
2005-04-11,28.600000,28.600000,28.600000,28.600000,16.735279,0
2005-04-12,28.639999,28.639999,28.639999,28.639999,16.758682,0
2005-04-13,28.450001,28.450001,28.450001,28.450001,16.647507,0
2005-04-14,28.180000,28.180000,28.180000,28.180000,16.489517,0
2005-04-15,27.700001,27.700001,27.700001,27.700001,16.208645,0
2005-04-18,27.520000,27.520000,27.520000,27.520000,16.103315,0
2005-04-19,27.870001,27.870001,27.870001,27.870001,16.308121,0
2005-04-20,27.580000,27.580000,27.580000,27.580000,16.138428,0
2005-04-21,28.059999,28.059999,28.059999,28.059999,16.419298,0
2005-04-22,28.020000,28.020000,28.020000,28.020000,16.417543,0
2005-04-25,28.059999,28.059999,28.059999,28.059999,16.440973,0
2005-04-26,27.870001,27.870001,27.870001,27.870001,16.329647,0
2005-04-27,27.620001,27.620001,27.620001,27.620001,16.183170,0
2005-04-28,27.389999,27.389999,27.389999,27.389999,16.048409,0
2005-04-29,27.690001,27.690001,27.690001,27.690001,16.224182,0
2005-05-02,27.740000,27.740000,27.740000,27.740000,16.253483,0
2005-05-03,27.760000,27.760000,27.760000,27.760000,16.265202,0
2005-05-04,28.090000,28.090000,28.090000,28.090000,16.458557,0
2005-05-05,28.160000,28.160000,28.160000,28.160000,16.499569,0
2005-05-06,28.049999,28.049999,28.049999,28.049999,16.435120,0
2005-05-09,28.100000,28.100000,28.100000,28.100000,16.464413,0
2005-05-10,27.879999,27.879999,27.879999,27.879999,16.335510,0
2005-05-11,27.830000,27.830000,27.830000,27.830000,16.306213,0
2005-05-12,27.580000,27.580000,27.580000,27.580000,16.159739,0
2005-05-13,27.459999,27.459999,27.459999,27.459999,16.089424,0
2005-05-16,27.480000,27.480000,27.480000,27.480000,16.101143,0
2005-05-17,27.520000,27.520000,27.520000,27.520000,16.124577,0
2005-05-18,27.760000,27.760000,27.760000,27.760000,16.265202,0
2005-05-19,27.780001,27.780001,27.780001,27.780001,16.276917,0
2005-05-20,27.700001,27.700001,27.700001,27.700001,16.230047,0
2005-05-23,27.840000,27.840000,27.840000,27.840000,16.312071,0
2005-05-24,27.900000,27.900000,27.900000,27.900000,16.347227,0
2005-05-25,27.860001,27.860001,27.860001,27.860001,16.323795,0
2005-05-26,27.910000,27.910000,27.910000,27.910000,16.353085,0
2005-05-27,28.070000,28.070000,28.070000,28.070000,16.446835,0
2005-05-31,27.809999,27.809999,27.809999,27.809999,16.294493,0
2005-06-01,27.910000,27.910000,27.910000,27.910000,16.353085,0
2005-06-02,28.040001,28.040001,28.040001,28.040001,16.429260,0
2005-06-03,27.980000,27.980000,27.980000,27.980000,16.394102,0
2005-06-06,28.100000,28.100000,28.100000,28.100000,16.464413,0
2005-06-07,28.290001,28.290001,28.290001,28.290001,16.575739,0
2005-06-08,28.230000,28.230000,28.230000,28.230000,16.540585,0
2005-06-09,28.260000,28.260000,28.260000,28.260000,16.558159,0
2005-06-10,28.160000,28.160000,28.160000,28.160000,16.499569,0
2005-06-13,28.160000,28.160000,28.160000,28.160000,16.499569,0
2005-06-14,28.090000,28.090000,28.090000,28.090000,16.458557,0
2005-06-15,28.200001,28.200001,28.200001,28.200001,16.523003,0
2005-06-16,28.370001,28.370001,28.370001,28.370001,16.622614,0
2005-06-17,28.770000,28.770000,28.770000,28.770000,16.856983,0
2005-06-20,28.549999,28.549999,28.549999,28.549999,16.728081,0
2005-06-21,28.680000,28.680000,28.680000,28.680000,16.804249,0
2005-06-22,28.670000,28.670000,28.670000,28.670000,16.798391,0
2005-06-23,28.370001,28.370001,28.370001,28.370001,16.622614,0
2005-06-24,28.440001,28.440001,28.440001,28.440001,16.663624,0
2005-06-27,28.379999,28.379999,28.379999,28.379999,16.628471,0
2005-06-28,28.430000,28.430000,28.430000,28.430000,16.657770,0
2005-06-29,28.480000,28.480000,28.480000,28.480000,16.687065,0
2005-06-30,28.430000,28.430000,28.430000,28.430000,16.657770,0
2005-07-01,28.370001,28.370001,28.370001,28.370001,16.622614,0
2005-07-05,28.350000,28.350000,28.350000,28.350000,16.610897,0
2005-07-06,28.389999,28.389999,28.389999,28.389999,16.634333,0
2005-07-07,28.160000,28.160000,28.160000,28.160000,16.499569,0
2005-07-08,28.459999,28.459999,28.459999,28.459999,16.675344,0
2005-07-11,28.780001,28.780001,28.780001,28.780001,16.862841,0
2005-07-12,29.020000,29.020000,29.020000,29.020000,17.003466,0
2005-07-13,28.860001,28.860001,28.860001,28.860001,16.909718,0
2005-07-14,28.889999,28.889999,28.889999,28.889999,16.927290,0
2005-07-15,28.830000,28.830000,28.830000,28.830000,16.892136,0
2005-07-18,28.850000,28.850000,28.850000,28.850000,16.903856,0
2005-07-19,28.900000,28.900000,28.900000,28.900000,16.933149,0
2005-07-20,29.080000,29.080000,29.080000,29.080000,17.038616,0
2005-07-21,29.219999,29.219999,29.219999,29.219999,17.120646,0
2005-07-22,29.040001,29.040001,29.040001,29.040001,17.015182,0
2005-07-25,29.049999,29.049999,29.049999,29.049999,17.021040,0
2005-07-26,28.940001,28.940001,28.940001,28.940001,16.956591,0
2005-07-27,29.180000,29.180000,29.180000,29.180000,17.097210,0
2005-07-28,29.440001,29.440001,29.440001,29.440001,17.249552,0
2005-07-29,29.400000,29.400000,29.400000,29.400000,17.226114,0
2005-08-01,29.660000,29.660000,29.660000,29.660000,17.378456,0
2005-08-02,29.920000,29.920000,29.920000,29.920000,17.530790,0
2005-08-03,30.100000,30.100000,30.100000,30.100000,17.636255,0
2005-08-04,29.980000,29.980000,29.980000,29.980000,17.565947,0
2005-08-05,29.770000,29.770000,29.770000,29.770000,17.442905,0
2005-08-08,29.879999,29.879999,29.879999,29.879999,17.507355,0
2005-08-09,30.110001,30.110001,30.110001,30.110001,17.642118,0
